CR,CM,time
http://sealytics.github.io/ontologies/release-model#Bug-03241c0c-b88c-4d38-b2eb-e9a06fb55ffb,Committed to trunk,1403008916476
http://sealytics.github.io/ontologies/release-model#Bug-61b0857d-c1b3-4822-b356-7e0fe416bfd9,committed to trunk,1397760983567
http://sealytics.github.io/ontologies/release-model#Bug-4cb2e166-c31f-4e71-a33c-cd8d236a8461,Committed to trunk.,1383785383430
http://sealytics.github.io/ontologies/release-model#Bug-4cb2e166-c31f-4e71-a33c-cd8d236a8461,"[~xiwang0309], please ask for someone to review your patch before committing in the future.

+1 for the patch.",1383785383430
http://sealytics.github.io/ontologies/release-model#Bug-e380753f-dfdf-45ac-af78-06d83a3ef57b,+1 for the patch,1404398772449
http://sealytics.github.io/ontologies/release-model#Bug-e380753f-dfdf-45ac-af78-06d83a3ef57b,committed to trunk and branch-1.6.1,1404398772449
http://sealytics.github.io/ontologies/release-model#Bug-d739744d-2241-4c21-801c-710ce629554f,"[~xiwang0309], thanks for the patch.
I&apos;ve made a minor tweak by removing the meaningless comment in the removeHosts function and cleaned up the local variable name.",1385077558737
http://sealytics.github.io/ontologies/release-model#Bug-d739744d-2241-4c21-801c-710ce629554f,+1 for patch.,1385077558737
http://sealytics.github.io/ontologies/release-model#Bug-d739744d-2241-4c21-801c-710ce629554f,Committed to trunk.,1385077558737
http://sealytics.github.io/ontologies/release-model#Bug-9f90d495-e88e-49b9-a547-30809e1261cb,committed.,1396442151839
http://sealytics.github.io/ontologies/release-model#Bug-9f90d495-e88e-49b9-a547-30809e1261cb,Patch added.,1396442151839
http://sealytics.github.io/ontologies/release-model#Bug-9f90d495-e88e-49b9-a547-30809e1261cb,+1 for the patch,1396442151839
http://sealytics.github.io/ontologies/release-model#Bug-89dccdfc-0a9e-4a15-91b1-a828a61734b3,Committed to trunk,1389807839232
http://sealytics.github.io/ontologies/release-model#Bug-89dccdfc-0a9e-4a15-91b1-a828a61734b3,+1,1389807839232
http://sealytics.github.io/ontologies/release-model#Bug-a47ad043-859c-4f91-b866-518e8d39d8ec,https://reviews.apache.org/r/16862/,1389720385269
http://sealytics.github.io/ontologies/release-model#Bug-a47ad043-859c-4f91-b866-518e8d39d8ec,+1,1389720385269
http://sealytics.github.io/ontologies/release-model#Bug-a47ad043-859c-4f91-b866-518e8d39d8ec,committed to trunk,1389720385269
http://sealytics.github.io/ontologies/release-model#Bug-b0422d29-4287-44b2-85d5-411b13902c5d,Committed to trunk,1402907349394
http://sealytics.github.io/ontologies/release-model#Bug-ca2e0072-d60f-4f73-91f5-f2d2a05729b0,"Upgrade the oracle database version to 11.2.0.3 and re-setup the ambari-server, the error is gone and server can start up successfully.",1393297292911
http://sealytics.github.io/ontologies/release-model#Bug-ca2e0072-d60f-4f73-91f5-f2d2a05729b0,"Hi,

I have installed java version &quot;1.7.0_51&quot; in the CentOS 6.5 machine . It&apos;s provided as java-home parameter to Ambari-server setup process . The Oracle database version is 11.2.0.1.0 . I have copied jdbc driver  /app/oracle/product/11.2.0/dbhome_1/jdbc/lib/ojdbc6.jar to /usr/share/java . 

I tried to add below export in OS env but still failed to start ambari server and get the same error.

export JAVA_OPTS=&quot;-Duser.timezone=UTC&quot;

Does anyone meet the similar issue ? 

I am ready to upgrade the oracle database to 11.2.0.3 and check if the error still there.

Willian",1393297292911
http://sealytics.github.io/ontologies/release-model#Bug-d3b2ff6d-1542-459b-87cc-810393edb9f9,"This is probably an issue with sys_logger.py.  See the previous-generation issue AMBARI-4435, which provided this functionality for Ambari 1.5.0 and Hadoop-1.x.",1410538717337
http://sealytics.github.io/ontologies/release-model#Bug-6ff1b8f1-b829-4468-93f5-6faa88837568,Committed to trunk,1408452630183
http://sealytics.github.io/ontologies/release-model#Bug-0f5d5239-c487-4a21-b8f8-ad526e60f2d6,committed to trunk,1381765136280
http://sealytics.github.io/ontologies/release-model#Bug-0f5d5239-c487-4a21-b8f8-ad526e60f2d6,+1,1381765136280
http://sealytics.github.io/ontologies/release-model#Bug-ee58ecc3-99df-49e9-9e59-ad80d9b569a4,"Attached patch.
",1391816973373
http://sealytics.github.io/ontologies/release-model#Bug-ee58ecc3-99df-49e9-9e59-ad80d9b569a4,+1 for the patch.  Tested E2E.,1391816973373
http://sealytics.github.io/ontologies/release-model#Bug-4b1cb48c-499b-4088-af5e-8d6d077cf34d,[~dshkvyra] looks like the patch doesnt apply anymore. Can you please redo the patch? ,1390842679105
http://sealytics.github.io/ontologies/release-model#Bug-4b1cb48c-499b-4088-af5e-8d6d077cf34d,+1 patch looks good.,1390842679105
http://sealytics.github.io/ontologies/release-model#Bug-80b72683-1693-4946-9cbd-2eee1f2868a1,+1 for the patch.,1380101643398
http://sealytics.github.io/ontologies/release-model#Bug-80b72683-1693-4946-9cbd-2eee1f2868a1,Committed to trunk and 1.4.1.,1380101643398
http://sealytics.github.io/ontologies/release-model#Bug-80b72683-1693-4946-9cbd-2eee1f2868a1,patch addeed.,1380101643398
http://sealytics.github.io/ontologies/release-model#Bug-15f2a154-a324-4ceb-b033-fbd25f2494df,+1 for patch.,1382575625932
http://sealytics.github.io/ontologies/release-model#Bug-15f2a154-a324-4ceb-b033-fbd25f2494df,Patch integrated to trunk.,1382575625932
http://sealytics.github.io/ontologies/release-model#Bug-4b64e9f2-20ea-449c-b5b1-7a949bf4f3a9,"FAILURE: Integrated in Ambari-trunk-Commit #250 (See [https://builds.apache.org/job/Ambari-trunk-Commit/250/])
AMBARI-7319. Rebalance of HDFS is not working for HDP 1.3. (jaimin) (jaimin: http://git-wip-us.apache.org/repos/asf?p=ambari.git&amp;a=commit&amp;h=f84ee8dd7985224b6481a796c6102bb56e0251e8)
* ambari-web/app/views/main/service/item.js
",1410819837494
http://sealytics.github.io/ontologies/release-model#Bug-4b64e9f2-20ea-449c-b5b1-7a949bf4f3a9,+1 for the patch.,1410819837494
http://sealytics.github.io/ontologies/release-model#Bug-4b64e9f2-20ea-449c-b5b1-7a949bf4f3a9,Patch committed to trunk,1410819837494
http://sealytics.github.io/ontologies/release-model#Bug-65dc0b85-1b96-4998-b437-e760c2bc17f1,+1 for the patch.  Committed to trunk.,1386980776253
http://sealytics.github.io/ontologies/release-model#Bug-74d2bb16-6ec0-4270-bf32-961af306898a,Committed to trunk. Thanks Jayush!,1404324158756
http://sealytics.github.io/ontologies/release-model#Bug-07374163-7d75-4681-8860-2e5f97fa626b,+1,1395062867254
http://sealytics.github.io/ontologies/release-model#Bug-07374163-7d75-4681-8860-2e5f97fa626b,committed to trunk,1395062867254
