CWE-16,2000,3
CWE-264,2007,21
CWE-264,2004,13
CWE-16,2002,18
CWE-264,2005,26
CWE-16,2001,12
CWE-16,2004,45
CWE-264,2002,2
CWE-16,2003,6
CWE-264,2003,6
CWE-264,2000,4
CWE-264,2001,2
CWE-17,2014,248
CWE-17,2015,245
CWE-17,2012,125
CWE-17,2013,266
CWE-17,2010,195
CWE-17,2011,173
CWE-16,2016,1
CWE-17,2016,16
CWE-16,2011,54
CWE-16,2010,84
CWE-16,2013,83
CWE-264,2015,185
CWE-16,2012,108
CWE-264,2016,21
CWE-264,2013,133
CWE-16,2015,43
CWE-264,2014,87
CWE-16,2014,77
CWE-264,2011,125
CWE-264,2012,85
CWE-264,2010,223
CWE-20,2000,35
CWE-17,2016,31
CWE-20,2001,52
CWE-20,2002,75
CWE-20,2003,40
CWE-17,2012,269
CWE-20,2004,50
NA,2008,36
CWE-17,2013,262
CWE-20,2005,63
NA,2009,46
CWE-17,2014,199
CWE-20,2006,47
CWE-20,2007,106
CWE-17,2015,230
CWE-20,2008,101
CWE-264,2001,29
CWE-264,2002,81
CWE-20,2009,95
CWE-17,2010,275
CWE-17,2011,459
CWE-264,2000,31
CWE-264,2005,106
CWE-264,2006,171
CWE-264,2003,33
CWE-264,2004,66
CWE-264,2009,168
CWE-264,2007,195
CWE-264,2008,282
NA,2010,54
NA,2015,4
NA,2011,7
NA,2012,6
NA,2013,80
NA,2014,13
CWE-17,2005,60
CWE-17,2006,107
CWE-17,2007,111
CWE-17,2008,108
CWE-17,2001,2
CWE-17,2002,6
CWE-17,2003,14
CWE-17,2004,34
CWE-264,2012,198
CWE-264,2013,209
CWE-264,2010,91
CWE-264,2011,87
CWE-17,2000,2
CWE-264,2016,7
CWE-264,2014,209
CWE-264,2015,165
CWE-119,2010,122
NA,2004,2
NA,2005,33
CWE-119,2011,80
CWE-119,2012,69
CWE-119,2013,94
CWE-119,2014,35
CWE-119,2015,63
NA,2001,2
CWE-119,2016,11
NA,2004,5
CWE-94,1999,9
NA,2005,14
NA,2006,29
NA,2007,46
NA,2008,144
CWE-17,2009,119
NA,2009,111
NA,2006,128
NA,2002,3
NA,2007,96
CWE-200,2011,151
CWE-200,2012,31
CWE-200,2010,16
CWE-200,2015,12
CWE-200,2016,7
CWE-287,2011,89
CWE-200,2013,23
CWE-287,2010,82
CWE-200,2014,24
CWE-255,2003,28
CWE-255,2004,58
CWE-255,2005,75
CWE-255,2006,127
CWE-255,2000,4
CWE-255,2001,9
CWE-255,2002,28
CWE-119,2000,2
CWE-119,2001,3
CWE-119,2002,5
CWE-119,2003,9
CWE-119,2004,9
CWE-119,2005,16
CWE-119,2006,62
CWE-287,2013,236
CWE-200,2008,51
CWE-119,2007,57
CWE-287,2012,142
CWE-119,2008,76
CWE-200,2009,40
CWE-287,2015,342
CWE-119,2009,88
CWE-200,2006,161
CWE-287,2014,284
CWE-200,2007,103
CWE-287,2016,29
CWE-20,2011,97
CWE-200,2000,40
NA,2005,57
CWE-20,2012,141
NA,2006,50
CWE-200,2001,19
CWE-119,1999,1
CWE-20,2013,238
NA,2003,16
CWE-20,2014,206
NA,2004,18
CWE-20,2015,252
CWE-200,2004,81
NA,2001,2
CWE-200,2005,162
CWE-20,2016,17
NA,2002,17
CWE-200,2002,63
CWE-200,2003,36
CWE-255,2014,186
CWE-255,2015,171
CWE-255,2016,14
CWE-399,1999,34
CWE-255,2010,128
NA,2009,25
CWE-255,2011,123
CWE-264,1999,11
CWE-255,2012,210
NA,2007,64
NA,2008,36
CWE-255,2013,255
CWE-255,2007,119
CWE-255,2008,167
CWE-255,2009,99
CWE-20,2010,106
CWE-79,1999,3
CWE-79,2004,145
CWE-79,2005,436
CWE-79,2002,62
CWE-79,2003,48
CWE-79,2008,507
CWE-79,2009,331
CWE-79,2006,798
CWE-79,2007,417
CWE-20,2009,165
CWE-20,2005,224
CWE-79,2000,1
CWE-20,2006,239
CWE-79,2001,9
CWE-20,2007,266
CWE-20,2008,246
CWE-20,2001,98
CWE-20,2002,134
CWE-20,2003,98
CWE-20,2004,214
CWE-20,2000,98
CWE-287,2000,29
CWE-287,2009,77
CWE-287,2002,73
CWE-287,2001,42
CWE-89,1999,7
CWE-287,2004,58
CWE-287,2003,22
CWE-287,2006,71
CWE-287,2005,70
CWE-287,2008,60
CWE-287,2007,85
CWE-17,2001,12
CWE-17,2000,31
CWE-79,2016,12
CWE-79,2014,287
CWE-79,2015,208
CWE-79,2012,298
CWE-79,2013,243
CWE-79,2010,184
CWE-17,2009,117
CWE-79,2011,154
CWE-17,2008,137
CWE-17,2007,101
CWE-17,2006,75
CWE-264,1999,284
CWE-17,2005,68
CWE-17,2004,25
CWE-17,2003,26
CWE-17,2002,53
NA,2015,438
NA,2016,206
NA,2013,464
NA,2014,431
NA,2011,245
NA,2012,412
NA,2010,275
CWE-79,2009,210
CWE-79,2007,202
