2006-2397,T1
2005-4868,T9
2015-6974,T28
2007-4201,T31
2004-2429,T14
2013-0968,T28
2001-1294,T11
2014-3959,T7
1999-0808,T11
2009-2076,T22
1999-1106,T26
2007-6232,T1
2011-1795,T8
2012-2321,T5
2011-0003,T38
2012-0092,T27
2002-1120,T11
2013-2307,T25
2012-0439,T14
2014-7592,T0
2012-5794,T0
2004-0548,T14
2006-2094,T25
2005-0840,T39
2013-3289,T13
2015-4000,T35
2012-3676,T28
2015-2366,T34
2014-1204,T5
2013-1862,T33
2013-6034,T19
2008-6438,T5
2002-1174,T11
2007-3252,T3
2011-4324,T15
2012-4294,T23
2009-4137,T33
2008-4637,T4
2013-4022,T19
2011-1978,T12
2013-0176,T37
2010-2855,T5
2013-4314,T35
2014-0006,T12
2010-3698,T15
2014-2537,T15
2011-1896,T7
2004-0693,T8
2000-0734,T37
2006-4655,T26
2013-0896,T8
2003-0963,T11
2016-0487,T27
2000-0798,T9
2015-8072,T28
2011-5214,T21
2014-7393,T0
2007-6659,T1
2001-1138,T18
2000-0055,T26
2011-3976,T14
2006-5417,T11
2015-2650,T27
2007-1398,T37
2013-3745,T27
2013-1535,T27
2008-3383,T21
2010-2131,T5
2009-3304,T3
2011-4504,T19
2001-1079,T9
2015-2155,T11
2015-5766,T36
2009-2395,T21
2009-2948,T9
2005-1076,T22
2005-3628,T14
2014-4124,T34
2005-4584,T31
2009-2440,T1
2008-2891,T21
2014-3024,T38
2004-0656,T37
2006-1677,T30
2011-2148,T5
2007-6031,T32
2009-4920,T29
2009-1574,T37
2013-5209,T15
2014-1718,T8
2010-0375,T21
2009-0651,T20
2007-3928,T13
2003-1161,T15
2010-5167,T4
2012-1439,T4
2014-2336,T7
2013-4996,T22
2006-3830,T24
2003-1350,T33
2013-6000,T36
2011-4777,T1
2006-3562,T2
2006-6018,T2
2009-0861,T1
2008-0396,T36
2007-4428,T4
2012-1787,T1
2015-2530,T34
2006-1580,T1
2007-2233,T33
2013-5570,T22
2006-0703,T22
2015-4310,T7
2015-6945,T1
2010-1796,T25
2008-4328,T21
2010-5071,T25
2013-6993,T1
2008-0010,T15
2002-0617,T17
2015-2975,T20
2004-1426,T18
2016-1635,T8
2010-2481,T23
2008-5086,T6
2006-0535,T4
2004-1165,T33
2006-4109,T22
2004-1063,T4
2006-6119,T30
2014-7715,T0
2015-2850,T1
2013-6953,T3
2004-0381,T9
2003-0442,T22
2014-3823,T29
2011-0714,T37
2009-2438,T1
2009-0721,T20
2007-6113,T37
2007-3261,T1
2008-6494,T3
2002-1520,T6
2002-0461,T31
2012-2062,T7
2014-8819,T26
2000-0093,T10
2005-1941,T9
2015-0644,T29
2006-2414,T36
2005-2481,T30
2013-3183,T37
2007-3668,T8
2013-2143,T6
2013-1604,T36
2015-6357,T35
2007-4253,T21
2011-3070,T8
2015-7456,T20
2015-5508,T38
2013-5095,T7
2009-2261,T33
2007-2217,T17
2001-1567,T33
2006-6156,T1
2013-2153,T35
2004-2382,T8
2008-6550,T1
2015-0877,T24
2011-4264,T7
2014-9738,T22
2012-1815,T5
2007-2239,T11
2012-2101,T31
2007-0301,T2
2013-3929,T22
2013-3788,T27
2007-6495,T6
2007-4996,T37
2006-5214,T9
2011-1709,T33
2012-3629,T28
2007-2833,T23
2010-0676,T18
2001-0775,T14
2008-4528,T18
2008-5260,T14
2006-3523,T37
2009-3224,T5
2005-1967,T21
2000-0166,T14
2007-5826,T36
2001-0535,T25
2015-7392,T14
2007-6512,T3
2013-1781,T22
2013-7232,T5
2001-1108,T36
2005-3127,T1
2012-0703,T7
2005-1387,T3
2013-5560,T29
2013-2314,T22
2010-5040,T2
2010-1847,T15
2014-4534,T22
2006-4504,T21
2004-0578,T36
2004-1551,T1
2005-2742,T10
2005-1864,T2
2007-5301,T14
2001-0113,T5
2005-2888,T5
2014-8082,T12
2008-2104,T6
2008-6808,T21
2005-2483,T33
2000-0376,T11
2003-0700,T15
2015-1792,T37
1999-0925,T31
2008-3909,T38
2001-1347,T15
2014-7099,T0
1999-0348,T3
2016-0940,T28
2013-4381,T39
2011-1584,T24
2010-1583,T5
2008-3511,T1
2015-0292,T23
