CR,CM,time
http://sealytics.github.io/ontologies/release-model#Bug-dd874a39-da6f-4e63-99d7-25f93de96466,"The problem comes from the installation of spring-context bundles with two different versions:

{code}
karaf@root()&gt; la|grep -i 96
 96 | Active    |  30 | 4.0.2.RELEASE_1  | Apache ServiceMix :: Bundles :: spring-context                     
karaf@root()&gt; la |grep -i 109
109 | Active    |  30 | 3.2.8.RELEASE_1  | Apache ServiceMix :: Bundles :: spring-context 
{code}

I&apos;m reviewing the Spring 4.x features.",1396075918185
http://sealytics.github.io/ontologies/release-model#Bug-dd874a39-da6f-4e63-99d7-25f93de96466,Fixed on master: https://git-wip-us.apache.org/repos/asf?p=karaf.git;a=commitdiff;h=166b9c6fbf9e2868c8714e6974936397d159c1eb,1396075918185
http://sealytics.github.io/ontologies/release-model#Bug-7f04e8c4-5ea1-45e0-bed8-73447d678efb,"On Fedora I get 
{code}
âžœ ~ Â» /usr/lib/jvm/java-1.8.0/bin/java -version
openjdk version &quot;1.8.0-internal&quot;
OpenJDK Runtime Environment (build 1.8.0-internal-0)
OpenJDK 64-Bit Server VM (build 25.0-b67-internal, mixed mode)
{code}",1395246785905
http://sealytics.github.io/ontologies/release-model#Bug-7f04e8c4-5ea1-45e0-bed8-73447d678efb,Fixed on karaf-3.0.x: https://git-wip-us.apache.org/repos/asf?p=karaf.git;a=commitdiff;h=3b72ac0d7db149eb303db5a4603d6e905317e409,1395246785905
http://sealytics.github.io/ontologies/release-model#Bug-7f04e8c4-5ea1-45e0-bed8-73447d678efb,"The problem is the first egrep to match against â€˜â€�([0-9]. [0-9]\..* [0-9])â€�â€™. In fact java version might be followed by a suffix like -ea.

The correct pattern should include this by adding .* which gives: â€˜â€�([0-9]. [0-9]\..* [0-9]).*â€�â€™",1395246785905
http://sealytics.github.io/ontologies/release-model#Bug-7f04e8c4-5ea1-45e0-bed8-73447d678efb,Fixed on master: https://git-wip-us.apache.org/repos/asf?p=karaf.git;a=commitdiff;h=b6dd8938315f9d6e495e57608ce635fc324bb7a3,1395246785905
http://sealytics.github.io/ontologies/release-model#Bug-92ccd77c-8ae4-44dd-a38e-d733d15d12de,"[~wilkpio] Absolutely not. 
The only valid way is to use the osgi spec compliant properties, used by Pax Web, that&apos;s why those jetty.* properties have been removed from the jetty.xml. 
",1309241199672
http://sealytics.github.io/ontologies/release-model#Bug-92ccd77c-8ae4-44dd-a38e-d733d15d12de,Fixed in Apache Karaf 2.2.2.,1309241199672
http://sealytics.github.io/ontologies/release-model#Bug-92ccd77c-8ae4-44dd-a38e-d733d15d12de,"The cleaner solution would be just to replace &quot;Property&quot; by&quot; SystemProperty&quot; in jetty.xml. 
This would also fix the the problem with controlling the jetty.host property from pax-web. 

-            &lt;Set name=&quot;host&quot;&gt;&lt;Property name=&quot;jetty.host&quot; /&gt;&lt;/Set&gt;
-            &lt;Set name=&quot;port&quot;&gt;&lt;Property name=&quot;jetty.port&quot; default=&quot;8080&quot;/&gt;&lt;/Set&gt;
+           &lt;Set name=&quot;host&quot;&gt;&lt;SystemProperty name=&quot;jetty.host&quot; /&gt;&lt;/Set&gt;
+           &lt;Set name=&quot;port&quot;&gt;&lt;SystemProperty name=&quot;jetty.port&quot; default=&quot;8080&quot;/&gt;&lt;/Set&gt;",1309241199672
http://sealytics.github.io/ontologies/release-model#Bug-92ccd77c-8ae4-44dd-a38e-d733d15d12de,"commit fix
http://svn.apache.org/viewvc?rev=1140484&amp;view=rev for trunk
http://svn.apache.org/viewvc?rev=1140486&amp;view=rev for 2.2.x branch",1309241199672
http://sealytics.github.io/ontologies/release-model#Bug-e6f16253-2613-42c3-bf7a-8b452f246cbf,"#step 1: cluster:bundle-install group mvn:somegroup/artifactid/1.02.12-SNAPSHOT
#step 2: cluster:bundle-list group|grep -i artifactid
|artifact 1.02.12-SNAPSHOT|
|artifact 1.2.12-SNAPSHOT|",1364287184529
http://sealytics.github.io/ontologies/release-model#Bug-e6f16253-2613-42c3-bf7a-8b452f246cbf,"Basically, Cellar considers two bundle as the version are different.

Do you have a concrete use case to try to reproduce the issue and check what&apos;s wrong ?",1364287184529
http://sealytics.github.io/ontologies/release-model#Bug-ae67fe31-2b94-4598-a87c-46d07730bfc1,Fixed on karaf-3.0.x: https://git-wip-us.apache.org/repos/asf?p=karaf.git;a=commitdiff;h=f481ad235fe7134437df03ec1c068d3ab7c7adcc,1393075422360
http://sealytics.github.io/ontologies/release-model#Bug-ae67fe31-2b94-4598-a87c-46d07730bfc1,Fixed on trunk: https://git-wip-us.apache.org/repos/asf?p=karaf.git;a=commitdiff;h=67afefaaeff7c0f41b741eef3e38e5d188e38cc5,1393075422360
http://sealytics.github.io/ontologies/release-model#Bug-ae67fe31-2b94-4598-a87c-46d07730bfc1,Fixed on karaf-2.x: https://git-wip-us.apache.org/repos/asf?p=karaf.git;a=commitdiff;h=bdea9839c0b238b170d98e1158760f8f885a8ae4,1393075422360
